
17:36:03 CI  11: df 14 19 0a c4 15 23 ba 82 cf f9
17:36:03 CI  11: df 14 19 0a c4 15 23 ba 82 cf fa
17:36:04 CI  11: df 14 19 0a c4 15 23 bb 82 cf fb
17:36:04 CI  11: df 14 19 0a c4 15 23 bb 82 cf fc
17:36:05 CI  11: df 14 19 0a c4 15 24 80 82 d0 00
17:36:05 CI  11: df 14 19 0a c4 15 24 80 82 d0 01
17:36:06 CI  11: df 14 19 0a c4 15 24 80 82 d0 02
17:36:06 CI  11: df 14 19 0a c4 15 24 81 82 d0 03
17:36:07 CI  11: df 14 19 0a c4 15 24 81 82 d0 04
17:36:07 CI  11: df 14 19 0a c4 15 24 82 82 d0 05
17:36:07 CI  11: df 14 19 0a c4 15 24 82 82 d0 06
17:36:08 CI  11: df 14 19 0a c4 15 24 83 82 d0 07
17:36:08 CI  11: df 14 19 0a c4 15 24 83 82 d0 08
17:36:09 CI  11: df 14 19 0a c4 15 24 83 82 d0 09
17:36:09 CI  11: df 14 19 0a c4 15 24 84 82 d0 0a
17:36:10 CI  11: df 14 19 0a c4 15 24 84 82 d0 0b
17:36:10 CI  11: df 14 19 0a c4 15 24 85 82 d0 0c
17:36:10 CI  11: df 14 19 0a c4 15 24 85 82 d0 0d
17:36:11 CI  11: df 14 19 0a c4 15 24 86 82 d0 0e
17:36:11 CI  11: df 14 19 0a c4 15 24 86 82 d0 0f
17:36:12 CI  11: df 14 19 0a c4 15 24 86 82 d0 10
17:36:12 CI  11: df 14 19 0a c4 15 24 87 82 d0 11
17:36:13 CI  11: df 14 19 0a c4 15 24 87 82 d0 12
17:36:13 CI  11: df 14 19 0a c4 15 24 88 82 d0 13
17:36:13 CI  11: df 14 19 0a c4 15 24 88 82 d0 14
